article_id,Genre,Onderwerp,Onderwerp2,Politiek,Genre2,text
42135681,2504 - nieuwsartikel,2497 - Natuur en milieu,7,0,0,"De Belgisch-Limburgse weerman Ruben Weyntjens voorspelt na zondag een snelle daling van temperatuur. “We evolueren ongekend snel van een typische westcirculatie naar een polaire stroming waarin sneeuwbuien tot ontwikkeling kunnen komen,” aldus de weerman via zijn website. “Er zijn voorspellingen voor Zuid-Limburg die voor donderdag 19 januari enkele centimeters sneeuw voorspellen. De precieze details zijn mede door de snelle ontwikkelingen op de weerkaarten nog onmogelijk te geven.”"
42135680,2504 - nieuwsartikel,2497 - Natuur en milieu,7,0,0,"In het weekeinde van 27, 28 en 29 januari wordt De Nationale Tuinvogeltelling 2023 gehouden.
Deze wordt jaarlijks georganiseerd door Vogelbescherming Nederland. Door een half uurtje de vogels in uw tuin of op uw balkon te tellen en de resultaten door te geven, krijgt Vogelbescherming Nederland meer inzicht in welke vogels er zich in onze tuinen begeven en op welke manier ze zich ontwikkelen."
42135679,2504 - nieuwsartikel,2503 - Evenementen en uitgaan,2,1,0,"Het college van burgemeester en wethouders heeft 35.000 euro subsidie toegekend aan het bestuur van gemeenschapshuis Cascade in Vilt. “Het geld wordt grotendeels gebruikt voor het afdekken van financiële tegenvallers als gevolg van de verbouwing die heeft plaatsgevonden. Verder voor het aanvullen van de tekorten die zijn ontstaan tijdens de coronaperiode,” laat secretaris van het gemeenschapshuis, Erik Ubaghs, weten op vragen van TV Valkenburg.
Archieffoto TV Valkenburg"
42135678,2504 - nieuwsartikel,2501 - Cultuur en media,3,0,0,"In samenwerking met de Heemkundevereniging Schin op Geul publiceert TV Valkenburg foto’s uit de zogenoemde oude doos. De foto’s zijn door John van Weersch (voorzitter van de vereniging) aangeleverd. Deze week de koude golf tijdens carnaval 1969.
Dik pak sneeuw – geen carnaval
Van 13 tot en met 17 februari 1969 beleefde Limburg een korte, maar hevige koudegolf die werd afgesloten met een dik pak sneeuw tijdens de carnaval. Op carnavalszondag sneeuwde het bijna de hele dag bij een stevige wind waardoor op maandag 17 februari zelfs een pak van ongeveer een halve meter dikte lag.
Daardoor werden alle carnavalsoptochten afgelast."
42135676,2504 - nieuwsartikel,2497 - Natuur en milieu,7,0,0,Het voormalige voetbalveld van de Valkenburgse Boys in de beemde en het gebied eromheen in Broekhem wordt teruggegeven aan de natuur.
42135675,2504 - nieuwsartikel,2503 - Evenementen en uitgaan,2,0,0,Het Valkenburgse duo Andy & Roy staat in de halve finale van het LVK. In onderstaande video legt Andy uit hoe u op hen kunt stemmen zodat ze de finale bereiken.
42135674,2504 - nieuwsartikel,2503 - Evenementen en uitgaan,2,0,0,De officiële onthulling van de muurreclame in de Jan Deckerstraat op 12 januari kon geen doorgang vinden. Het doek dat voor de 28ste muurreclame hing werd namelijk nog voor het officiële moment door de wind weggeblazen. Het leek er dus op alsof de reclame zich liever zelf wilde onthullen.
42135673,2504 - nieuwsartikel,2502 - Vervoer en werkzaamheden,5,0,0,Tot en met zondag 22 januari vindt er een geplande militaire oefening in Valkenburg aan de Geul plaats. Deze wordt gehouden in het kader van training op hoogte voor militairen van de Koninklijke Landmacht. Dit houdt in dat de militairen zich te voet verplaatsen en diverse sportactiviteiten uitvoeren. Doorgaand verkeer wordt hierbij niet gehinderd.
42135672,2504 - nieuwsartikel,2493 - Gezondheidszorg en corona,9,0,0,"Op het Theodoor Dorrenplein staat sinds zaterdag 14 januari een AED. Met het plaatsen van deze Automatische Externe Defibrillator wil de stichting Hart voor Valkenburg een nieuwe impuls geven aan de noodzaak dat door inwoners en gasten snel en adequaat gehandeld kan worden bij een acute hartaanval.
Video: Fons Winteraeken, TV Valkenburg"
42135671,2504 - nieuwsartikel,2501 - Cultuur en media,3,0,0,"Op zaterdag 21 januari vanaf 19.30 uur organiseert jongerenkoor Orphée Social Singing uit Houthem een concert, ‘Proost!’ genaamd, in gemeenschapshuis de Holle Eik. Het wordt gehouden ter ere van het afscheid van dirigente Marjolein Jeurissen, die voor een jaar op wereldreis gaat. Het koor wordt begeleid door een band bestaande uit Jerom Slowikowski, Micha Grin, Chimène Hirsch en Anouk Schoenmakers."
42135670,2504 - nieuwsartikel,2503 - Evenementen en uitgaan,2,0,0,"Komend weekeinde viert de carnavalssociëteit de Mirlitophile 1879 haar 13 x 11-jarig jubileum. Op zaterdag 21 januari start om 16.00 uur de receptie in de Polfermolen waarbij de jubilarissen Joep Peters, Piet Van de Sanden, Theo en Kelly Geijsen worden gehuldigd.
Op zondag 22 januari vanaf 11:11 uur begint, eveneens in de Polfermolen, de grote jubileumzitting."
42135669,2504 - nieuwsartikel,2502 - Vervoer en werkzaamheden,5,0,0,"De gemeente heeft afgelopen weekeinde het voetpad tussen Tivoli en het voormalige voetbalveld van Valkenburgse Boys afgesloten. Bevers hebben langs het pad staande bomen dusdanig aangevreten, dat ze een gevaar vormen voor de wandelaars.
Foto’s Jos Coenen, TV Valkenburg"
42135668,2504 - nieuwsartikel,2495 - Sport,4,0,0,"19-01-2023


20:30


VC S.E.C. DR 2


VC Mariaberg DR 1





 
21-01-2023


16:00


VC S.E.C. HS 2


Jokers VC HS 4





21-01-2023


16:00


VC S.E.C. DR 1


Grovoc DR 1





21-01-2023


18:00


VC S.E.C. DS 3


Jokers VC DS 5





21-01-2023


18:00


VC S.E.C. DS 1


Saturnus/Hendriks Coppelmans DS 1





21-01-2023


18:00


Furos MB 2 


VC S.E.C. MB 1





  
Op zondag 22 januari vindt in de Polfermolen het jaarlijkse CMV jeugdtoernooi plaats. Aan dit evenement voor kinderen tussen 8 en 12 jaar nemen teams van 7 verenigingen uit Zuid-Limburg deel. Tussen 10.00 en 17.00 uur worden liefst 75 wedstrijden gespeeld.
Archieffoto TV Valkenburg"
42135667,2504 - nieuwsartikel,2495 - Sport,4,0,0,"Het eerste duel na de winterstop leverde voor de dames van HV MIC meteen de volle buit op. Na een spannende strijd werd Margraten met 25-23 aan de zegekar gebonden. Een overwinning die mede tot stand kwam door het superieure optreden van de beide doelvrouwen. 
In de eerste helft kwam MIC op voorsprong welke halverwege teniet was gedaan door de gasten. Toch ging de thuisclub met een minieme voorsprong (13-12) rusten. Ook na de pauze bleef het uitermate spannend. Uiteindelijk was MIC het effectiefste en wist de overwinning in eigen huis te houden. 
Uitslagen HV MIC                              
MIC E1 – Zwart Wit E1           13-14              
MIC D1 – Margraten D1         10-22              
MIC DB1 – Margraten DB1    16-26                                      
MIC DA1 – BFC DA1                17-25                          
MIC DS1 – Margraten DS1     25-23
MIC DS3 – Margraten DS2     25-22
BDC ’90 C1 – MIC DC1             18-12              
MIC DS2 – Zwart Wit DS1       16-26
Programma HV MIC
Donderdag 19-1
18:00: Wijnandia DC1 – MIC DC1
Vrijdag 20-1
18:30: Zwart Wit DA1 – MIC DA1
Zaterdag 21-1
10:00 uur: Noav E1 – MIC E1
11:00 uur: Noav E2 – MIC E2
12:15 uur: V&L D3 – MIC D1
13:00 uur: MIC DC1 – SVM DC1
19:00 uur: Bevo HC DS2 – MIC DS1
Zondag 22-1
13:00 uur: SAC DB1- MIC DB1
13:10 uur: Wijnandia DS1 – MIC DS3
13:30 uur: Gemini DA1 – MIC DA1
13:40 uur: Rapiditas DS1 – MIC DS2

Maandag 23-1
19:50 uur: V&L DS3 – MIC DS2
Archieffoto TV Valkenburg"
42135666,2504 - nieuwsartikel,2495 - Sport,4,0,0,"VV Walram – VV Hellas om 14.30 uur;
Willem I – SV Geuldal om 14.30 uur;
VV Berg’28 – Amstenrade om 14.30 uur;
ST IASON/RVU – Willem I -5 om 11.00 uur."
42135665,2504 - nieuwsartikel,2502 - Vervoer en werkzaamheden,5,1,0,"De CDA-fractie in de gemeenteraad wil de renovatie van de weg Broekhem koppelen aan de reeds gestarte renovatie van de Statenlaan, Koningswinkelstraat, Cremerstraat en Bosstraat. De fractie vindt dat de weg door de vele gaten in slechte staat verkeert.
De fractie schrijft in een brief aan het college van B&W het volgende: “Ziet u net als wij kansen om met de pot onvoorziene kosten van bovengenoemde projecten, subsidie vanuit provincie en/of Rijksoverheid, budget vanuit wegbeheer en een eventuele aanvulling vanuit onze reserves (bijvoorbeeld de miljoenenreserve ‘opbrengst aandelen Essent’) de weg Broekhem te reconstrueren?”
Mocht een reconstructie buitenproportioneel veel geld kosten, vraagt het CDA om -als alternatief- een geheel nieuwe deklaag aan te brengen over de weg in Broekhem.
Klik hier om de gehele brief te lezen.
Foto Fons Winteraeken, TV Valkenburg"
42135664,2504 - nieuwsartikel,2494 - Criminaliteit en justitie,6,0,0,"In de provincie Limburg werden vorig jaar de meeste personenauto’s per 10.000 inwoners gestolen in de gemeente Valkenburg aan de Geul.
Heuvelland
Twintig keer gingen dieven aan de haal met een auto. In andere Limburgse gemeenten werden er weliswaar meer auto’s gestolen, maar omgerekend per 10.000 inwoners gaat Valkenburg met 12,6 auto’s aan kop. Nergens in Limburg werden gemiddeld zoveel auto’s gestolen. Dit blijkt uit cijfers van het Landelijk Intelligence- en expertisecentrum Voertuigcriminaliteit. In Eijsden-Margraten verdwenen 3,5 auto’s per 10.000 inwoners, in Gulpen-Wittem 7,1 en in Vaals bleef de teller op 1 steken. Zelfs Maastricht bleef met 5,2 nog ver onder het gemiddelde cijfer van Valkenburg aan de Geul.
Tweewielers
Ook de meeste motoren verdwenen vorig jaar in gemeente Valkenburg. Negen in totaal. Per 10.000 inwoners zijn er dat 5,6. Alleen bij brom- en snorfietsen kwam Valkenburg niet in de top voor (14 stuks, 8,7 per 10.000 inwoners). Maastricht is hier koploper met 227 diefstallen. Gemiddeld zijn er dat 18,7 per 10.000 inwoners."
42135663,2504 - nieuwsartikel,2497 - Natuur en milieu,7,0,0,"Tussen 10:20 en 14:00 uur op vrijdag 20 januari 2023 viel een pak sneeuw in Zuid-Limburg. Op de hoger gelegen kernen van de gemeente Valkenburg aan de Geul viel in deze korte tijd 7 cm sneeuw.
Foto/video Fons Winteraeken, TV Valkenburg"
42135662,2504 - nieuwsartikel,2498 - Bedrijfsleven,8,0,0,"De Stichting Hart voor Valkenburg ontving woensdagavond een cheque van 10.000 euro uit handen van directeur Noël Leise van Holland Casino Valkenburg. Het bedrijf schonk het geld voor alle vrijwilligers die meewerken aan het project ‘Vliegende Hartbrigade’ waarbij iedere seconde telt bij een acute hartstilstand. Met deze donatie kunnen twee AED’s geplaatst worden in de Guascostraat en in de Openbare Basisschool in Berg.
Cursussen
Op de school in Berg volgen de scholieren van groep 7 en 8 samen met hun ouders binnenkort een cursus reanimeren. De Ronde Tafel Valkenburg deed de toezegging een reanimatie-evenement te gaan organiseren in Valkenburg centrum.
Foto Stichting Hart voor Valkenburg"
42135661,2504 - nieuwsartikel,2499 - Jubilea en herdenkingen,10,0,0,"Vrijdag 27 januari, de dag waarop Auschwitz door de Russen in 1945 werd bevrijd, is uitgeroepen tot de Holocaust Memorial Day. Op die dag wordt wereldwijd stilgestaan bij de slachtoffers van de Holocaust en andere genociden.
In samenwerking met het Platform Wereldburgerschap Valkenburg wil de Stichting Struikelstenen Valkenburg aan de Geul de 42 slachtoffers van de Holocaust uit Valkenburg wederom herdenken op zondag 29 januari om 12.00 uur. De plechtigheid begint bij de Vredesvlam in de Pelerinstraat. Na het leggen van bloemen lopen de deelnemers een stille tocht richting station Valkenburg.
Archieffoto TV Valkenburg"
42135660,2504 - nieuwsartikel,2495 - Sport,4,0,0,"Voor zondag 22 januari 2023 zijn onderstaande wedstrijden afgelast:
VV Walram – VV Hellas;
Willem I – SV Geuldal;
VV Berg’28 – Amstenrade;
ST IASON/RVU – Willem I – 5."
42135659,2504 - nieuwsartikel,2501 - Cultuur en media,3,0,0,"In samenwerking met de Heemkundevereniging Schin op Geul publiceert TV Valkenburg foto’s uit de zogenoemde oude doos. De foto’s zijn door John van Weersch, voorzitter van de vereniging, aangeleverd. Deze week de kalkbranderij op de Schaelsberg.
Op 30 mei 1919 vraagt J. van Filippo vergunning voor het plaatsen een kalkoven onder aan de Schaelsberg langs de spoorlijn Maastricht – Aken aan de Däölkesberg. Het terrein van de mergelgroeve was 13.000 m² groot. Van de voormalige kalkbranderij resteert slechts een klein deel van de kalkoven nabij de spoorlijn. Hoger op de helling zijn nog steeds de kale mergelwanden van de kalkmergelgroeve zichtbaar.
Kalkbranderij Schaelsberg in 1936
Er zijn geen foto’s beschikbaar wel een kleurenplaat uit 1936. Deze geeft een goede indruk van het bedrijf.
Klik hier voor meer informatie over de Geuldalbaan."
42135657,2504 - nieuwsartikel,2495 - Sport,4,0,0,"Het eerste damesteam van VC S.E.C. behaalde zaterdagavond 21 januari een heel belangrijke 3-2 overwinning tegen concurrent Saturnus.  De Valkenburgse formatie blijft hierdoor volop jagen op de tweede plek op de ranglijst. Een positie die nu nog wordt ingenomen door Saturnus dat echter twee wedstrijden meer heeft afgewerkt.  
Beide teams deden waren volledig aan elkaar gewaagd. N vier sets (25-22, 22-25, 25-17 en 20-25) stond een gelijke stand op het scorebord en moest een vijfde, beslissende set worden afgewerkt. Hierin wist S.E.C. met 15-12 de overwinning veilig te stellen.
Foto Ruud Jansen VC S.E.C."
42135656,2504 - nieuwsartikel,2500 - Ongevallen,1,0,0,"Zaterdagmiddag is een flinke brand uitgebroken bij de Evangelische Baptistengemeente Bergen Op Zoom. Er is een persoon naar het ziekenhuis gebracht.
De brand brak rond 13.30 uur uit. Of er op dat moment mensen in het gebouw aan de Williamstraat aanwezig waren is niet bekend. De brandweer was snel ter plaatse met het nodige materieel. Ook twee ambulances kwamen aangespoed omdat er toch mensen door de rook bevangen waren. Er is daarom in ieder geval een persoon naar het ziekenhuis gebracht. De buurt is afgezet voor de werkzaamheden van de hulpdiensten. Over de oorzaak zijn nog geen mededelingen gedaan."
42135655,2506 - achtergrond,2501 - Cultuur en media,3,1,1,"Een aantal lokale omroepen in Brabant krijgt er flink geld bij. Het gaat onder meer om Dtv Oss, Omroep Meierij en Streekomroep ZuidWest. Deze drie omroepen mogen vanaf volgend jaar op 250.000 euro extra subsidie rekenen. Het geld is bedoeld om de lokale journalistiek een impuls te geven. Twee andere grotere lokale omroepen vielen buiten de boot: Omroep Tilburg en Studio040 in Eindhoven krijgen geen extra geld.
Het geld komt van de landelijke overheid. Staatssecretaris Uslu van Cultuur en Media besloot dat de lokale omroepen het geld nodig hebben om te professionaliseren en meer aan lokale journalistiek te gaan doen.
´Zekerheid´
Streekomroep ZuidWest, de omroep voor Bergen op Zoom, Roosendaal en Woensdrecht, is blij: “Hiermee kunnen we de journalisten die al bij ons werken, zekerheid geven over hun toekomst”, vertelt directeur Maarten van den Boom aan Omroep Brabant. “En het geeft ons de kans om door te gaan met waar we mee bezig waren: een goede nieuwsvoorziening voor onze regio.”
Dtv, voor Oss en omstreken, kreeg het geld om met omliggende lokale omroepen te gaan samenwerken, waaronder Omroep Meijerij. “We gaan met het geld een kwartiermaker inhuren die de samenwerking vorm moet gaan geven”, zegt hoofdredacteur Jan de Jong van Omroep Meierij. De lokale omroep wil ook een socialmediaredacteur en een cameraman aannemen. Dtv Oss/Den Bosch gaat met het geld extra journalisten inhuren.
Puntensysteem
Bij de lokale omroepen in Eindhoven en Tilburg is de teleurstelling groot: zij kregen geen extra geld. Het geld werd uitgekeerd op basis van een puntensysteem. Bij beide omroepen werden onvoldoende punten gescoord. “Ongelofelijk jammer inderdaad,” zegt Ron Schuurkes, hoofdredacteur van Omroep Tilburg. “Maar gelukkig krijgen we komend jaar wel extra geld van de gemeente, dus we zitten niet helemaal in zak en as.”
De lokale omroepen moeten richting 2025 opgaan in nieuw te vormen streekomroepen die een groter gebied bedienen. De nu toegekende bedragen zijn voorlopig. Pas in 2025 komt hiervoor een wijziging in de mediawet en worden de toegekende bedragen voor de lokale omroepen herverdeeld. Omroep Brabant werkt met al deze omroepen samen. De artikelen van de regionale omroep verschijnen regelmatig bij de lokale omroepen en omgekeerd.

	Lees ook:
	Streekomroep ZuidWest krijgt Rijkssteun voor verdere professionalisering



	Lees ook:
	Streekomroep ZuidWest start samenwerking met Omroep Brabant en de NOS"
42135654,2506 - achtergrond,2493 - Gezondheidszorg en corona,9,1,1,"Burger Belangen Roosendaal maakt zich zorgen om daklozen nu het ‘s nachts zo koud is. De winteropvang geldt alleen als het vriest, maar de partij wil dat er minder streng gekeken wordt naar de regels. Ze wil dat er rekening gehouden wordt met de gevoelstemperatuur. Burger Belangen wil weten of er mensen geweigerd worden bij de nachtopvang, omdat het nog niet koud genoeg is. De partij stelt er vragen over aan burgemeester en wethouders.
Raadslid Selda Bozkurt van Burger Belangen Roosendaal roept de gemeente op om losser om te gaan met de opvangregels. “Onze fractie ontvangt signalen van dakloze mensen die met dit gure weer ’s nachts op straat verblijven, omdat zij nergens terecht kunnen om ‘s nachts te overnachten,” schrijft ze aan de gemeente Roosendaal. “Vorige winter was er een tent voor de daklozenopvang in Bergen op Zoom en voor de daklozen in Roosendaal een plekje in de Waterstraat. Dit jaar lijkt er niets geregeld.”
Gevoelstemperatuur mee laten tellen
Bozkurt wil weten of het klopt dat dakloze mensen geweigerd worden bij de nachtopvang. “Vorig jaar werden dakloze mensen in deze periode opgevangen, maar nu is dat kennelijk niet mogelijk omdat de winteropvang alleen geopend is wanneer het gaat vriezen,” aldus het raadslid. “Ondanks dat de gevoelstemperatuur nu geregeld onder nul is, zou het volgens de regels nu nog niet koud genoeg zijn om de winterregeling van kracht te laten worden.”
Burger Belangen vindt dat beleid te strak. De partij wijst naar Amsterdam, Nijmegen en Den Haag die de winterregeling eerder laten beginnen. Bijvoorbeeld bij guur weer, als de gevoelstemperatuur al rond het vriespunt ligt. Burger Belangen wil ook weten hoeveel daklozen er in de gemeente Roosendaal buiten moeten blijven in dit koude weer. “Welke (extra) voorzieningen worden dit jaar aan de daklozen aangeboden?” wil Bozkurt weten."
42135653,2506 - achtergrond,2498 - Bedrijfsleven,8,0,1,"Tijdens de komende Vastenavend zullen een aantal horecagelegenheden op de Grote Markt en ‘t Beursplein niet meedoen met de leutneutbonnen. “We hebben al zoveel goede betaalmiddelen”, vindt Jimmy Devilee van De Bourgondiër.
De leutneutbonnen worden traditiegetrouw elke Vastenavend gebruikt in de horeca. Mensen kunnen een bonnenboekje kopen, om deze vervolgens te besteden in de kroegen. Toch doen ruim dertien gelegenheden ze aankomende editie in de ban. “Voor mij is het een bewuste keuze om dit jaar niet mee te doen met de leutneutbonnen.”
Democratisch besluit
Het betalen met de bonnen is volgens sommige horeca namelijk overbodig. “Tijdens corona hebben we als horecaondernemers meerdere betaalmogelijkheden gehad voor de klanten. Pin, cash, maar ook met de telefoon. Ik zie daarom geen noodzaak om met een nieuw alternatief betaalmiddel te komen.”
De prijs is dit jaar 2,73 euro. “Die wordt democratisch besloten,” legt Jac Oosterwaal van vereniging De Leut Neut Bon uit. Overigens konden sommige ondernemers, zoals De Bourgondiër, niet bij deze stemming aanwezig zijn. En volgens de statuten vindt er slechts één stemming plaats. “Ik vind het erg jammer dat verschillende horecaondernemers daardoor dit jaar niet meedoen met de leutneutbonnen. Uiteraard is het een keuze die iedereen zelf mag maken.”
De ondernemers pleiten niet zozeer voor een hogere prijs. “Het gaat niet alleen om bierprijzen, maar ook over de huur van het pand en de personeels- en onderhoudskosten”, legt Devilee uit. “Voor de ene ondernemers zal die 2,73 euro dus moeilijker liggen dan voor de ander.”
Drie euro voor pilsje
Volgens Oosterwaal is er ook rekening gehouden met de verhoogde bierprijzen. “Voor de stemming over de prijzen begon, is er gekeken of er in de prijzen ten op zicht van vorig jaar iets veranderd is. De prijzen zijn met negen procent gestegen.”
Devilee vraagt drie euro voor een pilsje, maar is niet bang om klanten te verliezen. “Wij hebben tijdens covid en de Ellufde van den Ellufde-vieringen gezien dat ons publiek helemaal niet zozeer let op de prijzen. Ze willen gewoon een mooie avond.”
Betaalbaar houden
Oosterwaal hoopt dat afgehaakte horecabedrijven volgend jaar weer aanhaken. “Ik hoop dat men zich volgend jaar wel weer kan vinden in de prijzen en weer terugkeert naar de leutneutbonnen. We willen het feest voor iedereen betaalbaar houden.”
Devilee begrijpt de traditie achter de bonnen overigens wel. Daarom steekt hij het geld dat hij anders kwijt was aan het drukken van de bonnen, in de organisatie van Vastenavend. “Het feest zelf moet de avond uiteindelijk bepalen.”"
42135652,2504 - nieuwsartikel,2498 - Bedrijfsleven,8,0,0,"Zo’n 28 teams stonden donderdag te bibberen en heel hard hun best te doen op de schaatsbaan in Roosendaal. Ze hadden die avond maar één doel: hun tegenstanders verslaan tijdens het curlen. In totaal doen er 56 bedrijventeams mee aan de BNR Curling Cup. Zaterdag 17 december is de grote finale.
Deelnemers aan de wedstrijd omschrijven het curlen als ‘jeu de boulen op ijs’ of ‘een grote schijf over het ijs schuiven en die zo dicht mogelijk in het middelpunt van een cirkel krijgen.’ Eigenlijk horen ploeggenoten met bezems het ijs glad te houden, maar dat is hier niet het geval. “Daar is de baan te klein voor, en we zorgen ervoor dat het ijs glad genoeg blijft”, vertelt Mark van Doorn, voorzitter van Stichting IJsbaan Roosendaal.
Veel groepen komen al voor de tweede of derde keer. “En de ambiance is weer net zo goed als vorig jaar”, vertelt één van de deelnemers. “Helaas doen we het zelf wat minder goed, we hebben twee keer verloren.” Een erg fanatieke tegenstander doet ook voor de tweede keer mee, en dat gaat best wel goed. “Vorig jaar moesten we de competitie stoppen, maar nu gaan we natuurlijk gewoon voor de winst!”
8000 scholieren
Tot aan de kerstvakantie staat de schaatsbaan in het teken van schoolschaatsen en schaatsen voor speciale doelgroepen. “Er komen zo’n achtduizend scholieren langs om hier te schaatsen”, zegt van Doorn. “En natuurlijk is er ook voldoende tijd om gewoon lekker te komen schaatsen.” De schaatsbaan blijft tot 8 januari staan op het Kadeplein in Roosendaal."
